;Andromeda - Taklampa;Pris 26;Nytt pris
36397F70-000;Förnicklad mässing;3544;
36397F72-000;Rå mässing;3077;
50339;LED E14 2700 K 350 lm CRI>90;157;
50282-L;LED E14 2700K 470lm CRI >90;115;
;;;
;Utvändig kabel;;
36397-01S-000;Vit strukturlack RAL 9016;3037;
36397-15S-000;Svart strukturlack RAL 9005;3037;
36397-55-000;Rå stål;3175;
36397-69-000;Rå koppar;3579;
36397-70-000;Förnicklad mässing;4436;
36397-72-000;Rå mässing;3957;
50339;LED E14 2700 K 350 lm CRI>90;157;
50282-L;LED E14 2700K 470lm CRI >90;115;
;;;
;Star - Taklampa · Vägglampa;;
36396F01S-000;Vit strukturlack RAL 9016;1818;
36396F15S-000;Svart strukturlack RAL 9005;1818;
36396F55-000;Rå stål;1893;
36396F69-000;Rå koppar;2257;
36396F70-000;Förnicklad mässing;2890;
36396F72-000;Rå mässing;2459;
50339;LED E14 2700 K 350 lm CRI>90;157;
50282-L;LED E14 2700K 470lm CRI >90;115;
;;;
;Star - Taklampa;;
35398-01S-000-N;Vit strukturlack RAL 9016;2060;
35398-15S-000-N;Svart strukturlack RAL 9005;2060;
35398-55-000-N;Rå stål;2157;
35398-69-000-N;Rå koppar;2564;
35398-70-000-N;Förnicklad mässing;3279;
35398-72-000-N;Rå mässing;2785;
50339;LED E14 2700 K 350 lm CRI>90;157;
50282-L;LED E14 2700K 470lm CRI >90;115;
;;;
;Stardust - Taklampa;;
;1;;
35690-72-000;Rå mässing;56735;
;;;
;2;;
35692-72-000;Rå mässing;120580;
;;;
;3;;
35693-72-000;Rå mässing;190297;
;;;
;Starlight - Taklampa · Vägglampa;;
;3;;
36060-01S-000;Vit strukturlack RAL 9016;5787;
36060-15S-000;Svart strukturlack RAL 9005;5787;
36060-69-000;Rå koppar;6596;
36060-70-000;Förnicklad mässing;8210;
36060-55-000;Rå stål;5874;
36060-72-000;Rå mässing;7010;
PPP35-3000;Förnicklat mässingsomtag med 3 meter vajer (per 2 st);971;
PPP30-3000;Kopparomtag med 3 meter vajer (per 2 st);580;
PPP36-3000;Mässingsomtag med 3 meter vajer (per 2 st);824;
;;;
;6;;
